key,caption
image_1,The students are in class
image_2,The students are in class
image_3,The students are in class
image_4,The students are in class
image_5,The students are in class
image_6,The students are in class
image_7,The students are in class
image_8,The students are in class
image_9,The students are in class
image_10,The students are in class
image_11,The students are in class
image_12,The students are in class
image_13,The students are in class
image_14,The students are in class
image_15,The students are in class
image_16,The students are in class
image_17,The students are in class
image_18,The students are in class
image_19,The students are in class
image_20,The students are in class
image_21,The students are in class
image_22,The students are in class
image_23,The students are in class
image_24,College students play games in their dormitories
image_25,The students are playing football on the grass
image_26,The students are playing football on the grass
image_27,The students are playing football on the grass
image_28,The students are playing football on the grass
image_29,The students are playing football on the grass
image_30,The students are playing football on the grass
image_31,The students are playing football on the grass
image_32,The students are playing football on the grass
image_33,Students eat in the dining hall
image_34,Students eat in the dining hall
image_35,The students are in class
image_36,Students eat in the dining hall
image_37,Students eat in the dining hall
image_38,Students eat in the dining hall
image_39,Students eat in the dining hall
image_40,Students eat in the dining hall
image_41,Students eat in the dining hall
image_42,Students eat in the dining hall
image_43,Students eat in the dining hall
image_44,Students are in a data structure programming class
image_45,Students are in a data structure programming class
image_46,The students are playing football on the grass
image_47,Students are in a data structure programming class
image_48,Students are in a data structure programming class
image_49,Students are in a data structure programming class
image_50,Students are in a data structure programming class
image_51,Students are in a data structure programming class
image_52,Students are in a data structure programming class
image_53,Students are in a data structure programming class
image_54,Students study in the library
image_55,Students are in a data structure programming class
image_56,Students study in the library
image_57,The students are playing football on the grass
image_58,Students study in the library
image_59,Students study in the library
image_60,Students study in the library
image_61,Students study in the library
image_62,Students study in the library
image_63,Students study in the library
image_64,Students study in the library
image_65,Students study in the library
image_66,Students study in the library
image_67,Students study in the library
image_68,The students are playing football on the grass
image_69,Students study in the library
image_70,Students study in the library
image_71,Students study in the library
image_72,Students study in the library
image_73,Students study in the library
image_74,Students study in the library
image_75,Students study in the library
image_76,Students study in the library
image_77,Students study in the library
image_78,Students study in the library
image_79,The students are playing football on the grass
image_80,College students play games in their dormitories
image_81,College students play games in their dormitories
image_82,College students play games in their dormitories
image_83,College students play games in their dormitories
image_84,College students play games in their dormitories
image_85,College students play games in their dormitories
image_86,College students play games in their dormitories
image_87,College students go to eat KFC
image_88,College students go to eat KFC
image_89,College students go to eat KFC
image_90,The students are playing football on the grass
image_91,College students go to eat KFC
image_92,College students go to eat KFC
image_93,College students go to eat KFC
image_94,College students go to eat KFC
image_95,The students are playing football on the grass
image_96,The students are playing football on the grass
image_97,College students play games in their dormitories
image_98,College students play games in their dormitories
image_99,Students eat in the dining hall
image_100,Students eat in the dining hall
image_101,Students eat in the dining hall
image_102,Students study in the library
image_103,Students study in the library
image_104,College students play games in their dormitories
image_105,College students play games in their dormitories
image_106,College students play games in their dormitories
image_107,Students eat in the dining hall
image_108,The students are in class
image_109,Students are in a data structure programming class
image_110,The students are in class
image_111,The students are in class
image_112,The students are in class
image_113,The students are in class
image_114,The students are in class
image_115,The students are in class
image_116,The students are in class
image_117,The students are in class
image_118,The students are in class
image_119,The students are in class
image_120,The students are in class
image_121,Students are in a data structure programming class
image_122,The students are in class
image_123,The students are in class
image_124,Students are in a data structure programming class
image_125,The students are in class
image_126,The students are in class
image_127,The students are in class
image_128,The students are in class
